region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,std_gdp_pc_pps,std_unemployment_rate,std_tertiary_share_25_64,mahal_dist,flag_zscore,flag_mahal,flag_iforest,flag_lof,flag_ocsvm,flag_at_least_3,PC1,PC2
DEA3,2022,99.0,8.8,27.4,0.45607546166058993,-0.2745101845596435,-0.48663715604747876,1.1181075699183443,False,False,False,False,False,False,0.06918899928595575,-0.4271331794913692
DEA4,2022,110.0,2.4,26.7,0.7234629425664638,-1.1523496403830553,-0.5532099929239065,2.7195713248218794,False,False,False,False,False,False,0.43419113354932604,-1.271549415394197
DEA5,2022,102.0,8.4,26.4,0.5318373214458318,-0.3293751505486068,-0.5817412087280899,1.5607265836808166,False,False,False,False,False,False,0.07356729857887118,-0.5117804420756604
DEB1,2022,97.0,2.8,26.2,0.40428113681766287,-1.097484674394092,-0.600762019264212,2.02693140426049,False,False,False,False,False,False,0.16340366427526765,-1.2377241008738629
DEB2,2022,87.0,,29.9,0.12815755837194473,-0.1922127355761987,-0.248877024345951,0.19300911458679224,False,False,False,False,False,False,-0.025892453947402982,-0.2672086084803952
DEB3,2022,117.0,6.4,32.5,0.8800309690366823,-0.603699980493423,-0.0016064873763619483,1.3110399938187218,False,False,False,False,False,False,0.772224437044478,-0.5634471759114317
DEC0,2022,100.0,3.7,26.8,0.48158154398514297,-0.9740385009189249,-0.5436995876558453,1.8390947493873104,False,False,False,False,False,False,0.22483683876875377,-1.1019019332434792
DED2,2022,94.0,3.8,34.2,0.32455205122957625,-0.9603222594216841,0.16007040218067722,0.947435154162968,False,False,False,False,False,False,0.5760234107083985,-0.8416873421173052
DED4,2022,84.0,2.3,25.0,0.03910161984113383,-1.1660658818802963,-0.7148868824809453,1.9471588095874053,False,False,False,False,False,False,-0.1529865594241366,-1.3429919947534068
DED5,2022,97.0,3.5,35.9,0.40428113681766287,-1.0014709839134066,0.3217472917377157,1.1054986857421552,False,False,False,False,False,False,0.749648412840555,-0.8230866052652235
DEE0,2022,87.0,12.1,25.3,0.12815755837194473,0.17812578484930305,-0.686355666676762,1.0789555745786292,False,False,False,False,False,False,-0.4081653269166665,-0.07459518199199235
DEF0,2022,99.0,8.0,26.5,0.45607546166058993,-0.38424011653757006,-0.5722308034600286,1.3454318028443846,False,False,False,False,False,False,0.04007135802573637,-0.5599712899650552
DEG0,2022,86.0,2.7,27.8,0.0988181121882987,-1.1112009158913332,-0.44859553497523413,1.4620513918343796,False,False,False,False,False,False,0.05163525020469367,-1.1977442325240961
DK01,2022,192.0,8.6,53.1,2.1370744688021923,-0.3019426675541253,1.9575369978442272,5.273716591722956,False,False,False,False,False,False,2.8810888149302443,0.41180703890185005
DK02,2022,87.0,7.3,32.9,0.12815755837194473,-0.48025380701825576,0.03643513369588236,0.23190525332017115,False,False,False,False,False,False,0.23507761228372617,-0.4363639361357469
DK03,2022,111.0,7.6,34.7,0.7464299212982487,-0.43910508252653335,0.20762242852098278,0.7011924715990464,False,False,False,False,False,False,0.7749632383486136,-0.33605982690393565
DK04,2022,113.0,7.1,41.3,0.7917495868461654,-0.5076862900127375,0.8353091762130156,1.0056558475838133,False,False,False,False,False,False,1.2394514825092637,-0.1791605346576226
DK05,2022,100.0,7.6,34.8,0.48158154398514297,-0.43910508252653335,0.21713283378904336,0.347814346751871,False,False,False,False,False,False,0.5940807239259142,-0.33336411236327407
EA20,2022,,12.2,34.9,0.03910161984113383,0.19184202634654382,0.2266432390571046,0.093346503801549,False,False,False,False,False,False,0.12948181858510918,0.2594462272035156
EE00,2022,84.0,12.0,42.1,0.03910161984113383,0.16440954335206232,0.911392418357505,1.2390555004751507,False,False,False,False,False,False,0.5893770037858772,0.474837070514735
EL30,2022,92.0,19.4,45.6,0.26997287608056997,1.179411414147882,1.2442566027396438,3.022961669210086,False,False,False,False,False,False,0.7182923639971318,1.5426099411441254
EL41,2022,41.0,9.5,26.7,-1.7811463252476796,-0.17849649407895793,-0.5532099929239065,4.1166267305684725,False,False,False,False,False,False,-1.580021276540581,-0.3662148768436649
EL42,2022,65.0,12.5,28.6,-0.6116739135463172,0.23299075083826634,-0.37251229283074516,0.38402504369674473,False,False,False,False,False,False,-0.7371428495183152,0.08542370595994775
EL43,2022,57.0,14.1,28.9,-0.9449828625781536,0.45245061479411924,-0.3439810770265621,1.0122291684430946,False,False,False,False,False,False,-1.0088433589598587,0.30005654250232333
EL51,2022,44.0,14.1,27.6,-1.601930674231288,0.45245061479411924,-0.4676163455113563,2.9548683420531687,False,False,False,False,False,False,-1.5549183371753288,0.25491219883402927
EL52,2022,54.0,15.5,33.1,-1.0821964857725421,0.6444779957554907,0.05545594423200486,2.0245885087794218,False,False,False,False,False,False,-0.8896967683848038,0.6200742380613591
EL53,2022,56.0,11.9,27.6,-0.9899014481048034,0.15069330185482155,-0.4676163455113563,1.0169559100993086,False,False,False,False,False,False,-1.0467318814826856,-0.026018116188208096
EL54,2022,43.0,13.0,30.9,-1.6602742513005713,0.3015719583244704,-0.15377297166533987,3.950803504547827,False,False,False,False,False,False,-1.3506922530229173,0.22403851981886858
EL61,2022,51.0,10.8,33.5,-1.2272550420430381,-0.00018535461482731773,0.09349756530424917,2.818888939179027,False,False,False,False,False,False,-0.8054265282940581,0.02971920575120435
EL62,2022,58.0,16.7,18.5,-0.9008455095739948,0.8090728937223802,-1.3330632249049175,2.4391312726442984,False,False,False,False,False,False,-1.7214156506997007,0.28574772493295325
EL63,2022,49.0,10.7,25.4,-1.3287819335769917,-0.013901596112068322,-0.676845261408701,1.9160868904001007,False,False,False,False,False,False,-1.3833842287007716,-0.2545693960254107
EL64,2022,63.0,17.6,22.7,-0.6909876757017978,0.9325190671975478,-0.933626203646351,1.7488176040431436,False,False,False,False,False,False,-1.339792204939874,0.5424299532671278
EL65,2022,59.0,15.1,26.5,-0.8574626783025423,0.5896130297665274,-0.5722308034600286,0.9201497729120953,False,False,False,False,False,False,-1.1323837435109771,0.3482973831677507
ES11,2022,81.0,13.9,42.2,-0.053193417826602536,0.4250181317996377,0.9209028236255662,1.4770803571116424,False,False,False,False,False,False,0.46510663737260466,0.7218815991165249
ES12,2022,81.0,17.8,43.3,-0.053193417826602536,0.9599515501920294,1.025517281574238,2.3292339701438,False,False,False,False,False,False,0.4002084741716266,1.259396853072216
ES13,2022,81.0,14.1,45.3,-0.053193417826602536,0.45245061479411924,1.21572538693546,2.480830788136154,False,False,False,False,False,False,0.6532785678368834,0.8513505296201606
ES21,2022,111.0,16.3,55.0,0.7464299212982487,0.7542079277334173,2.138234697937388,5.382161747300731,False,False,False,False,False,False,1.753055019425229,1.4605292237428997
ES22,2022,106.0,18.6,48.3,0.6294583502168531,1.0696814821699558,1.5010375449772935,3.4059833839720306,False,False,False,False,False,False,1.169740254535234,1.5311909154459986
ES23,2022,93.0,14.6,41.8,0.29740918469525995,0.5210318222803233,0.8828612025533211,1.0760654025088021,False,False,False,False,False,False,0.6636470054771172,0.7992193163569526
ES24,2022,100.0,15.4,42.5,0.48158154398514297,0.6307617542582499,0.9494340394297492,1.3064615834546263,False,False,False,False,False,False,0.8103396534616053,0.9258148184589527
ES30,2022,120.0,16.2,49.8,0.9442833586222007,0.7404916862361762,1.64369362399821,3.2804635187030593,False,False,False,False,False,False,1.5691417686509177,1.2740745691986943
ES41,2022,84.0,14.1,39.8,0.03910161984113383,0.45245061479411924,0.6926530971920989,0.815636599550427,False,False,False,False,False,False,0.37245033376499365,0.6674294701769212
ES42,2022,73.0,20.1,31.4,-0.3171020307041362,1.275425104628568,-0.10622094532503432,1.6394268499082019,False,False,False,False,False,False,-0.6141295859806787,1.1555926104231404
ES43,2022,67.0,23.2,31.8,-0.5347639723891894,1.700628591043033,-0.06817932425278966,2.917142951731701,False,False,False,False,False,False,-0.8493882538393144,1.5664298626346573
ES51,2022,101.0,16.2,43.6,0.5068338302367518,0.7404916862361762,1.0540484973784217,1.6652642859255795,False,False,False,False,False,False,0.8698874926017302,1.065411442761602
ES52,2022,76.0,18.9,37.2,-0.214893567035222,1.110830206661678,0.44538256022251055,1.5267544163467792,False,False,False,False,False,False,-0.13570114755640647,1.1959801791137992
ES53,2022,95.0,14.3,33.8,0.3514076862736576,0.479883097788601,0.12202878110843224,0.4996682897020134,False,False,False,False,False,False,0.2087719800133407,0.492985812457123
ES61,2022,66.0,26.4,35.0,-0.5729276062853496,2.1395483189547386,0.23615364432516583,4.72816460779742,False,False,False,True,False,False,-0.7850564599432335,2.0842956780573463
ES62,2022,74.0,17.6,30.9,-0.28257314664768857,0.9325190671975478,-0.15377297166533987,0.8933276248837697,False,False,False,False,False,False,-0.5352193545658039,0.8179846165455082
ES63,2022,65.0,38.0,21.1,-0.6116739135463172,3.7306323326346726,-1.0857926879353286,16.408085663807647,True,True,True,True,True,True,-2.085904320574924,3.1080255583839214
ES64,2022,60.0,37.5,34.0,-0.8148090048666704,3.662051125148469,0.14104959164455472,13.442228218685347,True,False,True,True,False,True,-1.4006141907850196,3.475246444820899
ES70,2022,68.0,23.5,36.6,-0.4971657465001054,1.7417773155347553,0.3883201286141438,3.3828158701982334,False,False,False,False,True,False,-0.5311209581771368,1.7657481091527776
FI19,2022,95.0,14.3,40.7,0.3514076862736576,0.479883097788601,0.7782467446046495,0.8376703420512991,False,False,False,False,False,False,0.6429140283714794,0.7240083793816376
FI1B,2022,135.0,16.6,50.5,1.2431971310252086,0.7953566522251397,1.710266460874638,3.826651671581756,False,False,False,False,False,False,1.8106795985318747,1.349600364021615
FI1C,2022,94.0,13.6,37.3,0.32455205122957625,0.3838694073079152,0.4548929654905711,0.3871374980987859,False,False,False,False,False,False,0.43408035190865996,0.5202383745365382
FI1D,2022,93.0,14.5,38.2,0.29740918469525995,0.5073155807830826,0.5404866129031217,0.5633771250686027,False,False,False,False,False,False,0.44057680848640063,0.6658477116565473
FI20,2022,109.0,,36.1,0.7002862168343276,-0.1922127355761987,0.3407681022738382,0.5010205189536124,False,False,False,False,False,False,0.7685426550520288,-0.05821370782442593
FR10,2022,159.0,11.7,55.0,1.6584614181627928,0.12326081886033978,2.138234697937388,4.860043678648386,False,False,False,False,False,False,2.5557887140851188,0.8722237503620651
FRB0,2022,80.0,13.4,34.9,-0.08471970932373887,0.3564369243134337,0.2266432390571046,0.21258569418322482,False,False,False,False,False,False,0.0007100691355749842,0.41319829881567116
FRC1,2022,82.0,13.3,34.5,-0.022053961758808444,0.34272068281619295,0.18860161798486028,0.15911032467299951,False,False,False,False,False,False,0.023268434336477167,0.38712196814934446
FRC2,2022,74.0,12.9,36.8,-0.28257314664768857,0.28785571682722966,0.4073409391502656,0.6147812913395276,False,False,False,False,False,False,-0.002377646823699033,0.4121353504789813
FRD1,2022,78.0,10.9,33.8,-0.14897209890925722,0.013530886882413443,0.12202878110843224,0.09716878723852337,False,False,False,False,False,False,-0.02794217564373469,0.055258044141632934
FRD2,2022,85.0,13.6,35.4,0.06913550680877417,0.3838694073079152,0.2741952653974101,0.22313496576425657,False,False,False,False,False,False,0.1340252554238454,0.4559942609733454
FRE1,2022,81.0,15.1,34.6,-0.053193417826602536,0.5896130297665274,0.19811202325292154,0.39005965060594444,False,False,False,False,False,False,-0.05434318085378175,0.6214790584539515
FRE2,2022,75.0,16.7,31.8,-0.24850775155779084,0.8090728937223802,-0.06817932425278966,0.6600971674181867,False,False,False,False,False,False,-0.4235690539003926,0.7326590892617497
FRF1,2022,89.0,13.7,40.5,0.18583808283673217,0.39758564880515596,0.759225934068527,0.7920230089255069,False,False,False,False,False,False,0.5339505481093263,0.6398756528527626
FRF2,2022,89.0,14.1,28.9,0.18583808283673217,0.45245061479411924,-0.3439810770265621,0.7400528660530491,False,False,False,False,False,False,-0.20966623745122578,0.30284225425766353
FRF3,2022,70.0,11.1,30.3,-0.42360019479592387,0.040963369876894966,-0.21083540327370634,0.1870297345080967,False,False,False,False,False,False,-0.44912253209304004,-0.03692766321991422
FRG0,2022,87.0,11.3,40.0,0.12815755837194473,0.06839585287137673,0.7116739077282215,0.6497414091239105,False,False,False,False,False,False,0.5442555759371657,0.3148785979723548
FRH0,2022,82.0,10.1,42.1,-0.022053961758808444,-0.09619904509551314,0.911392418357505,1.4380020914759555,False,False,False,False,False,False,0.6114922086595339,0.23076267836395778
